Site_code,Sampling_event,Sample_code,Collected,Accounted For, Filtered,Decarb,Wrapped,Clean Filter Weight,Average Clean Filter Weight,Dried Filter Weight,Sample Weight,Total Weight after Trim,,C Total weight %,C Sample Amount,,N Total weight %,N Sample Amount,,S Total weight %,S Sample Amount,,C Section Weight,C Cut Filter Weight,C Filter Trim Piece,C Sample Weight,C Filter Weight,C Sample to Filter Ratio,C Vial Piece,C Sample Amount in Vial Piece,C Vial Filter Amount,C Weight After Decarb,C Weight Ratio After Decarb (same),C Total Weight to Tin,C approx Sample in Tin,,N Section Weight,N Cut Weight,N Filter Trim Piece,N Sample Weight,N Filter Weight,N Sample to Filter Ratio,N Total Weight to Tin,N apprx Sample in Tin,,S Section Weight,S Cut Weight,S Trim Piece,S Sample Weight,S Filter Weight,S Sample to Filter Ratio,S Total Weight to Tin,S apprx Sample in Tin,,Submitted_SIA,C13,Uc C,Wt%C,Uc C_Percents,Amount,Analyst comments,N15,Uc N,Wt%N,Uc N_Percents,Amount,Analyst comments
TBHM,8-24,TBHM_8-24_G,8/1/24,Y,,,"C,N,S",132.5,,152.5,20,126.4,,27.76898734,4.393827111,,23.57594937,3.730371735,,48.65506329,7.698585964,,43.6,35.1,8.5,4.39,30.71,0.14,22.4,3.21,19.19,22.2,0.14,4.3,0.62,,40.2,29.8,10.4,3.7,26.1,0.14,8.1,1.2,,81.2,61.5,19.7,7.7,53.8,0.14,19.5,2.8,,Y,-24.53,0.14,6.23,0.023970543,0.8, ,1.51,0.31,0.783,0.053159361,1.9, 
TBHM,9-23,TBHM_9-23_G,9/27/23,Y,10/3/24,,"C,N,S",,130.5010101,144.7,14.1989899,127.8,,22.69170579,2.521121293,,23.86541471,2.651524119,,53.4428795,5.937675322,,38.1,29,9.1,2.52,26.48,0.1,21.2,2.02,19.18,20.8,0.1,3.9,0.37,,38.6,30.5,8.1,2.7,27.8,0.1,8.3,0.8,,81.8,68.3,13.5,5.9,62.4,0.1,26.2,2.5,,Y,-28.4,0.14,8.66,0.021382376,0.8, ,2.99,0.25,1.311,0.012338581,1.7, 
TKB,11-24,TKB_11-24_G,11/16/24,Y,,,"C,N,S",134.1,,167.5,33.4,107.8,,24.48979592,7.587747529,,25.8812616,8.018869548,,49.62894249,15.37668533,,37.1,26.4,10.7,7.59,18.81,0.4,19.2,7.74,11.46,20.6,0.4,3.6,1.45,,39,27.9,11.1,8,19.9,0.4,7.5,3,,75.2,53.5,21.7,15.4,38.1,0.4,20.7,8.3,,Y,-24.65,0.27,2.58,0.200988048,0.9,Very small C,3.37,0.51,0.448,0.011911845,1.7,Very Small N
TKB,1-24,TKB_1-24_G,1/6/24,Y,,,"C,N,S",133.9,,146.7,12.8,102.4,,25.29296875,3.161621094,,24.90234375,3.112792969,,49.8046875,6.225585937,,38,25.9,12.1,3.16,22.74,0.14,18.1,2.52,15.58,18.1,0.14,3.3,0.46,,37.4,25.5,11.9,3.1,22.4,0.14,6.1,0.8,,76.4,51,25.4,6.2,44.8,0.14,18.9,2.6,,Y,-24.75,0.14,5.01,0.275324531,0.9,,,,,,1.5,BDL_N<0.0068mg;0.0055 mg N
TKB,4-24,TKB_4-24_G,4/11/24,Y,9/6/24,,"C,N,S",126.9,,159.8,32.9,104.9,,26.40610105,8.28179909,,24.69018112,7.74363164,,48.90371783,15.33777232,,37.7,27.7,10,8.28,19.42,0.43,19.3,8.23,11.07,17.7,0.43,4.1,1.75,,36.9,25.9,11,7.7,18.2,0.43,5.8,2.5,,78.1,51.3,26.8,15.3,36,0.43,17.8,7.6,,Y,-24.94,0.3,2.12,0.051686799,0.9,Very small C,,,,,1.9,BDL_N<0.0041mg;0.0016 mg N
TKB,8-24,TKB_8-24_G,8/1/24,Y,,,"C,N,S",128.8,,157.5,28.7,112.8,,25,6.360815603,,23.4929078,5.97736218,,51.5070922,13.10508463,,38.1,28.2,9.9,6.36,21.84,0.29,17.8,5.18,12.62,21.1,0.29,3.9,1.14,,39.5,26.5,13,6,20.5,0.29,7.6,2.2,,78.9,58.1,20.8,13.1,45,0.29,23.2,6.8,,Y,-20.95,0.14,10.96,0.178934821,0.8, ,,,,,1.8,BQL_N<0.008mg;0.0045 mg N
TKB,9-23,TKB_9-23_G,10/5/23,Y,12/15/23,,"C,N,S",,130.5010101,176.3,45.7989899,119.9,,27.35613011,10.44940055,,26.10508757,9.971531627,,46.53878232,17.77672411,,40.8,32.8,8,10.45,22.35,0.47,23.2,10.85,12.35,22.8,0.47,5.1,2.38,,39.6,31.3,8.3,10,21.3,0.47,8,3.7,,77.8,55.8,22,17.8,38,0.47,26.5,12.4,,Y,-17,0.14,4.85,0.019339828,1, ,3.23,0.3,1.093,0.008675244,1.7, 
TSH,9-23,TSH_9-23_G,9/15/23,Y,9/3/24,,"C,N,S",129,,149.3,20.3,101.8,,26.03143418,5.190944145,,26.22789784,5.230121082,,47.74066798,9.519995677,,36.1,26.5,9.6,5.19,21.31,0.24,19.1,4.65,14.45,19.3,0.24,5.3,1.29,,36.6,26.7,9.9,5.2,21.5,0.24,8.6,2.1,,71.5,48.6,22.9,9.5,39.1,0.24,27.4,6.7,,Y,-28.46,0.15,12.76,0.037209384,0.8, ,,,,,1.7,BQL_N<0.0112mg;0.0065 mg N
TSM1,1-24,TSM1_1-24_G,2/2/24,Y,9/11/24,,"C,N,S",132.5,,153.8,21.3,107,,23.55140187,4.688269718,,22.52336449,4.483623024,,53.92523364,10.73464931,,38.4,25.2,13.2,4.69,20.51,0.23,16.3,3.73,12.57,16.1,0.23,6,1.37,,35.4,24.1,11.3,4.5,19.6,0.23,12.4,2.8,,74.4,57.7,16.7,10.7,47,0.23,36.1,8.3,,Y,-28.64,0.15,4.7,0.0392012,1, ,,,,,1.3,BQL_N<0.008mg;0.004 mg N
TSM1,4-24,TSM1_4-24_G,4/9/24,Y,9/6/24,,"C,N,S",129.2,,182.3,53.1,102.4,,26.7578125,13.8753891,,24.0234375,12.45746613,,49.21875,25.52261353,,37.9,27.4,10.5,13.88,13.52,1.03,16.7,17.13,-0.43,16.8,1.03,7.6,7.8,,37.2,24.6,12.6,12.5,12.1,1.03,11.6,11.9,,71.7,50.4,21.3,25.5,24.9,1.03,33.4,34.3,,Y,-28.8,0.14,2.16,0.25465157,1.1,,,,,,1.4,BDL_N<0.0022mg;0.0021 mg N
TSM1,8-24,TSM1_8-24_G,8/1/24,Y,9/13/24,,"C,N,S",131.1,,156.9,25.8,116.1,,24.46167097,5.435926883,,28.85443583,6.412096851,,46.6838932,10.37419849,,37.2,28.4,8.8,5.44,22.96,0.24,18.9,4.47,14.43,18.5,0.24,6.2,1.47,,39.8,33.5,6.3,6.4,27.1,0.24,14.8,3.5,,69.8,54.2,15.6,10.4,43.8,0.24,36.9,8.7,,Y,-24.69,0.15,5.31,0.037749941,1, ,,,,,1.6,BQL_N<0.0112mg;0.0066 mg N
TSM1,9-23,TSM1_9-23_G,9/30/23,Y,9/3/24,,"C,N,S",129.2,,146.4,17.2,103.9,,25.21655438,4.174444036,,26.37151107,4.365639946,,48.41193455,8.014295229,,37.3,26.2,11.1,4.17,22.03,0.19,16,3.03,12.97,16,0.19,8,1.52,,36.8,27.4,9.4,4.4,23,0.19,14.5,2.7,,71.3,50.3,21,8,42.3,0.19,24.6,4.7,,Y,-27.01,0.15,6.74,0.040099098,0.9, ,,,,,1.1,BQL_N<0.008mg;0.0057 mg N
TSM3,11-24,TSM3_11-24_G,11/10/24,Y,,,"C,N,S",132.9,,150.9,18,109.1,,25.29789184,4.173804337,,26.48945921,4.37039657,,48.21264895,7.954424207,,41.4,27.6,13.8,4.17,23.43,0.18,20.9,3.72,16.2,18.7,0.18,5.2,0.93,,38,28.9,9.1,4.4,24.5,0.18,8.7,1.6,,72,52.6,19.4,8,44.6,0.18,26.9,4.8,,Y,-28.28,0.2,4.39,0.19146688,0.9,Small C,,,,,1.6,BQL_N<0.0144mg;0.0073 mg N
TSM3,4-24,TSM3_4-24_G,4/9/24,Y,9/9/24,,"C,N,S",129.8,,169.4,39.6,118,,24.83050847,8.332950302,,21.18644068,7.110025855,,53.98305085,18.11634588,,36.5,29.3,7.2,8.33,20.97,0.4,15.6,6.2,9.4,16.2,0.4,4.2,1.67,,37.7,25,12.7,7.1,17.9,0.4,8.1,3.2,,86.8,63.7,23.1,18.1,45.6,0.4,18.8,7.5,,Y,-27.48,0.14,3.59,0.26125566,1,,,,,,1.1,BDL_N<0.003mg;0.003 mg N
TSM3,8-24,TSM3_8-24_G,8/1/24,Y,9/13/24,,"C,N,S",133.8,,157.9,24.1,103.8,,24.18111753,5.614305709,,25.24084778,5.860350979,,50.57803468,11.74306971,,39.2,25.1,14.1,5.61,19.49,0.29,12.5,3.6,8.9,13.4,0.29,5.1,1.47,,38.4,26.2,12.2,5.9,20.3,0.29,9.1,2.6,,74.2,52.5,21.7,11.7,40.8,0.29,25.5,7.3,,Y,-24.81,0.14,11.49,0.015171061,1, ,2.65,0.3,0.796,0.010572697,1.6, 
TSM3,9-23,TSM3_9-23_G,9/30/23,Y,9/3/24,,"C,N,S",130,,152.4,22.4,114.4,,28.14685315,5.511271945,,26.22377622,5.134725414,,45.62937063,8.934422221,,42.1,32.2,9.9,5.51,26.69,0.21,16.8,3.47,13.33,18.2,0.21,3.6,0.74,,40.5,30,10.5,5.1,24.9,0.21,8.7,1.8,,76.1,52.2,23.9,8.9,43.3,0.21,26.5,5.5,,Y,-25.57,0.14,4.15,0.213033085,0.9, ,,,,,1.2,BQL_N<0.008mg;0.0064 mg N
TSM4,4-24,TSM4_4-24_G,4/9/24,Y,9/6/24,,"C,N,S",128.7,,143.5,14.8,118.8,,25.84175084,3.219342697,,24.74747475,3.08301874,,49.41077441,6.155551021,,40.4,30.7,9.7,3.22,27.48,0.12,17.5,2.05,15.45,19.2,0.12,3.8,0.45,,39.8,29.4,10.4,3.1,26.3,0.12,6.2,0.7,,84.3,58.7,25.6,6.2,52.5,0.12,20.2,2.4,,Y,-28.28,0.14,8.11,0.27692333,0.8,,,,,,1.3,BQL_N<0.008mg;0.0065 mg N
TSM4,9-23,TSM4_9-23_G,9/30/23,Y,9/3/24,,"C,N,S",128.7,,155.8,27.1,117.1,,25.53373185,5.909172786,,26.13151153,6.047514624,,48.33475662,11.18592574,,39.4,29.9,9.5,5.91,23.99,0.25,14.9,3.67,11.23,15.9,0.25,3.8,0.94,,41.5,30.6,10.9,6,24.6,0.25,6.6,1.6,,78.7,56.6,22.1,11.2,45.4,0.25,21.7,5.3,,Y,-27.74,0.14,5.29,0.236837165,1,,,,,,1.7,BQL_N<0.008mg;0.0054 mg N
WB1,1-24,WB1_1-24_G,1/7/24,Y,,,"C,N,S",129.3,,160.3,31,111.8,,25.58139535,7.093231268,,25.13416816,6.969223729,,49.28443649,13.66563087,,40.7,28.6,12.1,7.09,21.51,0.33,14.7,4.85,9.85,15,0.33,3.7,1.22,,41.6,28.1,13.5,7,21.1,0.33,6.7,2.2,,79,55.1,23.9,13.7,41.4,0.33,18.4,6.1,,Y,-21.2,0.21,2.92,0.228161393,0.9,Small C,,,,,1.6,BQL_N<0.0144mg;0.0089 mg N
WB1,4-24,WB1_4-24_G,4/11/24,Y,9/5/24,,"C,N,S",129.5,,163.9,34.4,116.5,,23.5193133,6.944758607,,27.21030043,8.034629483,,49.27038627,14.54850891,,38.9,27.4,11.5,6.94,20.46,0.34,15.3,5.19,10.11,16.7,0.34,3.1,1.05,,42.9,31.7,11.2,8,23.7,0.34,7.7,2.6,,82.6,57.4,25.2,14.5,42.9,0.34,19,6.5,,Y,-24.79,0.3,1.43,0.047875457,1,Very small C,,,,,1.7,BDL_N<0.0041mg;0.0013 mg N
WB1,8-24,WB1_8-24_G,8/1/24,Y,,,"C,N,S",135.3,,151.6,16.3,103.9,,27.14148219,4.257999613,,26.17901829,4.107006719,,46.67949952,7.323155362,,41.8,28.2,13.6,4.26,23.94,0.18,15.7,2.79,15.6,16.2,0.18,4.6,0.82,,38.8,27.2,11.6,4.1,23.1,0.18,6.3,1.1,,76.1,48.5,27.6,7.3,41.2,0.18,24.2,4.3,,Y,-21.01,0.14,6.33,0.163168566,1, ,3.37,0.25,0.703,0.016970698,1.6, 
WB1,9-23,WB1_9-23_G,10/5/23,Y,12/15/23,,"C,N,S",,130.5010101,151.7,21.1989899,115.6,,24.30795848,4.457648497,,27.94117647,5.123916244,,47.75086505,8.756661816,,40.8,28.1,12.7,4.46,23.64,0.19,17,3.21,16.8,18,0.19,2.6,0.49,,43.2,32.3,10.9,5.1,27.2,0.19,5.2,1,,85,55.2,29.8,8.8,46.4,0.19,15.1,2.8,,Y,-21.67,0.14,3.51,0.021066432,1, ,,,,,1.6,BQL_N<0.0112mg;0.0058 mg N
WB2,4-24,WB2_4-24_G,4/11/24,Y,9/5/24,,"C,N,S",129.6,,169.8,40.2,93.2,,26.18025751,11.29234283,,23.2832618,10.04278031,,50.53648069,21.79792407,,35.1,24.4,10.7,11.29,13.11,0.86,,,,10.3,0.86,9.8,8.44,,35.1,21.7,13.4,10,11.7,0.86,8.9,7.7,,67.2,47.1,20.1,21.8,25.3,0.86,33.1,28.5,,Y,-25.73,0.28,1.07,0.225713574,1,Very small C,,,,,1.4,BDL_N<0.003mg;0.0011 mg N
WB2,8-24,WB2_8-24_G,8/1/24,Y,,,"C,N,S",129.1,,150.7,21.6,103.1,,26.57613967,5.567843035,,25.21823472,5.283354704,,48.20562561,10.09933572,,32,27.4,4.6,5.57,21.83,0.26,,,,11.5,0.26,9.1,2.32,,39,26,13,5.3,20.7,0.26,15.2,3.9,,68.5,49.7,18.8,10.1,39.6,0.26,37,9.4,,Y,-22,0.28,2.02,0.273030585,0.8,Very small C,,,,,1.6,BDL_N<0.0068mg;0.0047 mg N
WB2,9-23,WB2_9-23_G,10/5/23,Y,12/15/23,,"C,N,S",,130.5010101,152.3,21.7989899,100.6,,25.24850895,5.471093355,,26.64015905,5.772649681,,48.11133201,10.42523301,,33.9,25.4,8.5,5.47,19.93,0.27,,,,8.2,0.27,7.9,2.17,,30.4,26.8,3.6,5.8,21,0.27,11.1,3,,71.4,48.4,23,10.4,38,0.27,36.2,9.9,,Y,-20.84,0.14,3.24,0.021431027,1, ,,,,,1.4,BQL_N<0.0066mg;0.0062 mg N
